,movie_id,genre
708,20533,Action
709,20662,Action
710,20697,Action
711,21338,Action
712,21512,Action
713,21610,Action
714,21724,Action
715,22301,Action
716,22314,Action
717,22488,Action
718,22538,Action
719,22600,Action
720,22617,Action
721,22787,Action
722,22820,Action
723,22821,Action
724,22832,Action
725,22907,Action
726,22972,Action
727,23172,Action
728,23330,Action
729,23483,Action
730,23629,Action
731,23631,Action
732,23685,Action
733,23742,Action
734,23759,Action
735,24206,Action
736,24227,Action
737,24264,Action
738,24266,Action
739,24418,Action
740,24428,Action
741,24575,Action
742,24746,Action
743,24748,Action
744,24869,Action
745,25209,Action
746,25212,Action
747,25388,Action
748,25678,Action
749,25763,Action
750,25769,Action
751,25941,Action
752,26039,Action
753,26268,Action
754,26352,Action
755,26389,Action
756,26486,Action
757,26843,Action
758,26916,Action
759,27022,Action
760,27191,Action
761,27205,Action
762,27342,Action
763,27380,Action
764,27549,Action
765,27573,Action
766,27576,Action
767,27578,Action
768,27581,Action
769,27582,Action
770,27759,Action
771,27936,Action
772,28165,Action
773,28932,Action
774,29015,Action
775,29076,Action
776,29339,Action
777,29427,Action
778,30379,Action
779,30596,Action
780,31668,Action
781,31867,Action
782,32740,Action
783,33106,Action
784,33157,Action
785,33196,Action
786,33542,Action
787,34314,Action
788,34723,Action
789,34769,Action
790,34813,Action
791,34851,Action
792,35691,Action
793,35791,Action
794,35944,Action
795,36557,Action
796,36586,Action
797,36643,Action
798,36647,Action
799,36648,Action
800,36657,Action
801,36658,Action
802,36668,Action
803,36669,Action
804,36670,Action
805,36955,Action
806,37498,Action
807,37710,Action
808,37724,Action
809,37737,Action
810,37821,Action
811,37834,Action
812,37931,Action
813,37958,Action
814,38055,Action
815,38153,Action
816,38321,Action
817,38322,Action
818,38356,Action
819,38543,Action
820,38665,Action
821,38717,Action
822,38780,Action
823,38940,Action
824,38985,Action
825,39180,Action
826,39254,Action
827,39349,Action
828,39514,Action
829,39833,Action
830,40160,Action
831,40505,Action
832,40805,Action
833,40914,Action
834,41009,Action
835,41154,Action
836,41283,Action
837,41317,Action
838,42151,Action
839,42807,Action
840,43074,Action
841,43090,Action
842,43213,Action
843,43630,Action
844,43884,Action
845,43935,Action
846,43959,Action
847,44048,Action
848,44092,Action
849,44147,Action
850,44833,Action
851,44865,Action
852,44912,Action
853,44943,Action
854,45132,Action
855,45138,Action
856,45380,Action
857,45610,Action
858,46528,Action
859,46529,Action
860,47327,Action
861,47534,Action
862,47816,Action
863,47933,Action
864,47964,Action
865,48138,Action
866,48340,Action
867,48572,Action
868,48620,Action
869,49010,Action
870,49017,Action
871,49021,Action
872,49026,Action
873,49040,Action
874,49049,Action
875,49051,Action
876,49478,Action
877,49521,Action
878,49524,Action
879,49526,Action
880,49527,Action
881,49529,Action
882,49530,Action
883,49538,Action
884,49852,Action
885,50456,Action
886,51497,Action
887,51955,Action
888,51995,Action
889,52015,Action
890,52451,Action
891,52520,Action
892,53182,Action
893,53502,Action
894,54054,Action
895,54138,Action
896,56288,Action
897,56292,Action
898,56491,Action
899,56930,Action
900,57201,Action
901,58233,Action
902,58574,Action
903,58626,Action
904,59108,Action
905,59440,Action
906,59678,Action
907,59859,Action
908,59917,Action
909,59961,Action
910,59962,Action
911,59965,Action
912,59967,Action
913,60304,Action
914,61791,Action
915,62177,Action
916,62206,Action
917,62255,Action
918,62630,Action
